posx	posy	h	type
-0.500000	0.166667	0.010000	1
-0.500000	0.156566	0.010000	1
-0.500000	0.146465	0.010000	1
-0.500000	0.136364	0.010000	1
-0.500000	0.126263	0.010000	1
-0.500000	0.116162	0.010000	1
-0.500000	0.106061	0.010000	1
-0.500000	0.095960	0.010000	1
-0.500000	0.085859	0.010000	1
-0.500000	0.075758	0.010000	1
-0.500000	0.065657	0.010000	1
-0.500000	0.055556	0.010000	1
-0.500000	0.045455	0.010000	1
-0.500000	0.035354	0.010000	1
-0.500000	0.025253	0.010000	1
-0.500000	0.015152	0.010000	1
-0.500000	0.005051	0.010000	1
-0.500000	-0.005051	0.010000	1
-0.500000	-0.015152	0.010000	1
-0.500000	-0.025253	0.010000	1
-0.500000	-0.035354	0.010000	1
-0.500000	-0.045455	0.010000	1
-0.500000	-0.055556	0.010000	1
-0.500000	-0.065657	0.010000	1
-0.500000	-0.075758	0.010000	1
-0.500000	-0.085859	0.010000	1
-0.500000	-0.095960	0.010000	1
-0.500000	-0.106061	0.010000	1
-0.500000	-0.116162	0.010000	1
-0.500000	-0.126263	0.010000	1
-0.500000	-0.136364	0.010000	1
-0.500000	-0.146465	0.010000	1
-0.500000	-0.156566	0.010000	1
-0.500000	-0.166667	0.010000	1
-0.489899	-0.166667	0.010000	1
-0.479798	-0.166667	0.010000	1
-0.469697	-0.166667	0.010000	1
-0.459596	-0.166667	0.010000	1
-0.449495	-0.166667	0.010000	1
-0.439394	-0.166667	0.010000	1
-0.429293	-0.166667	0.010000	1
-0.419192	-0.166667	0.010000	1
-0.409091	-0.166667	0.010000	1
-0.398990	-0.166667	0.010000	1
-0.388889	-0.166667	0.010000	1
-0.378788	-0.166667	0.010000	1
-0.368687	-0.166667	0.010000	1
-0.358586	-0.166667	0.010000	1
-0.348485	-0.166667	0.010000	1
-0.338384	-0.166667	0.010000	1
-0.328283	-0.166667	0.010000	1
-0.318182	-0.166667	0.010000	1
-0.308081	-0.166667	0.010000	1
-0.297980	-0.166667	0.010000	1
-0.287879	-0.166667	0.010000	1
-0.277778	-0.166667	0.010000	1
-0.267677	-0.166667	0.010000	1
-0.257576	-0.166667	0.010000	1
-0.247475	-0.166667	0.010000	1
-0.237374	-0.166667	0.010000	1
-0.227273	-0.166667	0.010000	1
-0.217172	-0.166667	0.010000	1
-0.207071	-0.166667	0.010000	1
-0.196970	-0.166667	0.010000	1
-0.186869	-0.166667	0.010000	1
-0.176768	-0.166667	0.010000	1
-0.166667	-0.166667	0.010000	1
-0.166667	-0.126263	0.010000	1
-0.166667	-0.116162	0.010000	1
-0.166667	-0.106061	0.010000	1
-0.166667	-0.095960	0.010000	1
-0.166667	-0.085859	0.010000	1
-0.166667	-0.075758	0.010000	1
-0.166667	-0.065657	0.010000	1
-0.166667	-0.055556	0.010000	1
-0.166667	-0.045455	0.010000	1
-0.166667	-0.035354	0.010000	1
-0.166667	-0.025253	0.010000	1
-0.166667	-0.015152	0.010000	1
-0.166667	-0.005051	0.010000	1
-0.166667	0.005051	0.010000	1
-0.166667	0.015152	0.010000	1
-0.166667	0.025253	0.010000	1
-0.166667	0.035354	0.010000	1
-0.166667	0.045455	0.010000	1
-0.166667	0.055556	0.010000	1
-0.166667	0.065657	0.010000	1
-0.166667	0.075758	0.010000	1
-0.166667	0.085859	0.010000	1
-0.166667	0.095960	0.010000	1
-0.166667	0.106061	0.010000	1
-0.166667	0.116162	0.010000	1
-0.166667	0.126263	0.010000	1
-0.166667	0.136364	0.010000	1
-0.166667	0.146465	0.010000	1
-0.166667	0.156566	0.010000	1
-0.166667	0.166667	0.010000	1
-0.176768	0.166667	0.010000	1
-0.186869	0.166667	0.010000	1
-0.196970	0.166667	0.010000	1
-0.207071	0.166667	0.010000	1
-0.217172	0.166667	0.010000	1
-0.227273	0.166667	0.010000	1
-0.237374	0.166667	0.010000	1
-0.247475	0.166667	0.010000	1
-0.257576	0.166667	0.010000	1
-0.267677	0.166667	0.010000	1
-0.277778	0.166667	0.010000	1
-0.287879	0.166667	0.010000	1
-0.297980	0.166667	0.010000	1
-0.308081	0.166667	0.010000	1
-0.318182	0.166667	0.010000	1
-0.328283	0.166667	0.010000	1
-0.338384	0.166667	0.010000	1
-0.348485	0.166667	0.010000	1
-0.358586	0.166667	0.010000	1
-0.368687	0.166667	0.010000	1
-0.378788	0.166667	0.010000	1
-0.388889	0.166667	0.010000	1
-0.398990	0.166667	0.010000	1
-0.409091	0.166667	0.010000	1
-0.419192	0.166667	0.010000	1
-0.429293	0.166667	0.010000	1
-0.439394	0.166667	0.010000	1
-0.449495	0.166667	0.010000	1
-0.459596	0.166667	0.010000	1
-0.469697	0.166667	0.010000	1
-0.479798	0.166667	0.010000	1
-0.489899	0.166667	0.010000	1
-0.156566	-0.166667	0.010000	1
-0.146465	-0.166667	0.010000	1
-0.136364	-0.166667	0.010000	1
-0.126263	-0.166667	0.010000	1
-0.116162	-0.166667	0.010000	1
-0.106061	-0.166667	0.010000	1
-0.095960	-0.166667	0.010000	1
-0.085859	-0.166667	0.010000	1
-0.075758	-0.166667	0.010000	1
-0.065657	-0.166667	0.010000	1
-0.055556	-0.166667	0.010000	1
-0.045455	-0.166667	0.010000	1
-0.035354	-0.166667	0.010000	1
-0.025253	-0.166667	0.010000	1
-0.015152	-0.166667	0.010000	1
-0.005051	-0.166667	0.010000	1
0.005051	-0.166667	0.010000	1
0.015152	-0.166667	0.010000	1
0.025253	-0.166667	0.010000	1
0.035354	-0.166667	0.010000	1
0.045455	-0.166667	0.010000	1
0.055556	-0.166667	0.010000	1
0.065657	-0.166667	0.010000	1
0.075758	-0.166667	0.010000	1
0.085859	-0.166667	0.010000	1
0.095960	-0.166667	0.010000	1
0.106061	-0.166667	0.010000	1
0.116162	-0.166667	0.010000	1
0.126263	-0.166667	0.010000	1
0.136364	-0.166667	0.010000	1
0.146465	-0.166667	0.010000	1
0.156566	-0.166667	0.010000	1
0.166667	-0.166667	0.010000	1
-0.466667	-0.116667	0.010000	0
-0.433333	-0.116667	0.010000	0
-0.400000	-0.116667	0.010000	0
-0.366667	-0.116667	0.010000	0
-0.333333	-0.116667	0.010000	0
-0.300000	-0.116667	0.010000	0
-0.266667	-0.116667	0.010000	0
-0.233333	-0.116667	0.010000	0
-0.200000	-0.116667	0.010000	0
-0.466667	-0.083333	0.010000	0
-0.433333	-0.083333	0.010000	0
-0.400000	-0.083333	0.010000	0
-0.366667	-0.083333	0.010000	0
-0.333333	-0.083333	0.010000	0
-0.300000	-0.083333	0.010000	0
-0.266667	-0.083333	0.010000	0
-0.233333	-0.083333	0.010000	0
-0.200000	-0.083333	0.010000	0
-0.466667	-0.050000	0.010000	0
-0.433333	-0.050000	0.010000	0
-0.400000	-0.050000	0.010000	0
-0.366667	-0.050000	0.010000	0
-0.333333	-0.050000	0.010000	0
-0.300000	-0.050000	0.010000	0
-0.266667	-0.050000	0.010000	0
-0.233333	-0.050000	0.010000	0
-0.200000	-0.050000	0.010000	0
-0.466667	-0.016667	0.010000	0
-0.433333	-0.016667	0.010000	0
-0.400000	-0.016667	0.010000	0
-0.366667	-0.016667	0.010000	0
-0.333333	-0.016667	0.010000	0
-0.300000	-0.016667	0.010000	0
-0.266667	-0.016667	0.010000	0
-0.233333	-0.016667	0.010000	0
-0.200000	-0.016667	0.010000	0
-0.466667	0.016667	0.010000	0
-0.433333	0.016667	0.010000	0
-0.400000	0.016667	0.010000	0
-0.366667	0.016667	0.010000	0
-0.333333	0.016667	0.010000	0
-0.300000	0.016667	0.010000	0
-0.266667	0.016667	0.010000	0
-0.233333	0.016667	0.010000	0
-0.200000	0.016667	0.010000	0
-0.466667	0.050000	0.010000	0
-0.433333	0.050000	0.010000	0
-0.400000	0.050000	0.010000	0
-0.366667	0.050000	0.010000	0
-0.333333	0.050000	0.010000	0
-0.300000	0.050000	0.010000	0
-0.266667	0.050000	0.010000	0
-0.233333	0.050000	0.010000	0
-0.200000	0.050000	0.010000	0
-0.466667	0.083333	0.010000	0
-0.433333	0.083333	0.010000	0
-0.400000	0.083333	0.010000	0
-0.366667	0.083333	0.010000	0
-0.333333	0.083333	0.010000	0
-0.300000	0.083333	0.010000	0
-0.266667	0.083333	0.010000	0
-0.233333	0.083333	0.010000	0
-0.200000	0.083333	0.010000	0
-0.466667	0.116667	0.010000	0
-0.433333	0.116667	0.010000	0
-0.400000	0.116667	0.010000	0
-0.366667	0.116667	0.010000	0
-0.333333	0.116667	0.010000	0
-0.300000	0.116667	0.010000	0
-0.266667	0.116667	0.010000	0
-0.233333	0.116667	0.010000	0
-0.200000	0.116667	0.010000	0
-0.466667	0.150000	0.010000	0
-0.433333	0.150000	0.010000	0
-0.400000	0.150000	0.010000	0
-0.366667	0.150000	0.010000	0
-0.333333	0.150000	0.010000	0
-0.300000	0.150000	0.010000	0
-0.266667	0.150000	0.010000	0
-0.233333	0.150000	0.010000	0
-0.200000	0.150000	0.010000	0
